Exoplanet,Gas,Method1,Method 2,Average,Ratio
GJ 341 b,O2,95843203171,1.08771E+11,1.02307E+11,1.134882261
GJ 341 b,CO2,1.08306E+11,1.25898E+11,1.17102E+11,1.16242576
GJ 341 b,CH4,1.54849E+11,1.69348E+11,1.62098E+11,1.093631671
GJ 341 b,H2O,3.55958E+11,4.79853E+11,4.17905E+11,1.348061075
HD 260655 b,O2,80762721456,87864851917,84313786687,1.087938226
HD 260655 b,CO2,89954827780,94904180271,92429504025,1.055020421
HD 260655 b,CH4,1.28753E+11,1.19635E+11,1.24194E+11,0.92917957
HD 260655 b,H2O,2.97863E+11,3.81241E+11,3.39552E+11,1.279921692
HD 260655 c,O2,80762721456,87864851917,84313786687,1.087938226
HD 260655 c,CO2,89954827780,94904180271,92429504025,1.055020421
HD 260655 c,CH4,1.28753E+11,1.19635E+11,1.24194E+11,0.92917957
HD 260655 c,H2O,2.97863E+11,3.81241E+11,3.39552E+11,1.279921692
GJ 347 b,O2,40958204076,47531168073,44244686075,1.16047979
GJ 347 b,CO2,52571119771,55650997520,54111058646,1.058584975
GJ 347 b,CH4,74437524855,79175679021,76806601938,1.063652764
GJ 347 b,H2O,1.61768E+11,2.03791E+11,1.82779E+11,1.259772423
L 98-59 b,O2,25966051451,27424170347,26695110899,1.056154818
L 98-59 b,CO2,34980186025,31124647643,33052416834,0.889779363
L 98-59 b,CH4,49348095894,43529846049,46438970972,0.882097784
L 98-59 b,H2O,1.04979E+11,1.1554E+11,1.1026E+11,1.100599483
Gliese 12 b,O2,12662259854,14564319829,13613289841,1.15021489
Gliese 12 b,CO2,17925180554,16117873036,17021526795,0.899174934
Gliese 12 b,CH4,25192806799,22671272710,23932039755,0.899910553
Gliese 12 b,H2O,52433250420,60351921533,56392585977,1.151023846
GJ 3929 b,O2,11677116691,13622851688,12649984189,1.166628034
GJ 3929 b,CO2,16005969746,15347938548,15676954147,0.958888389
GJ 3929 b,CH4,22550614581,21786874933,22168744757,0.966132202
GJ 3929 b,H2O,47606779054,57719743157,52663261106,1.212426976
TOI-244 b,O2,11197469931,12039266407,11618368169,1.075177382
TOI-244 b,CO2,14936000181,13389990977,14162995579,0.896491083
TOI-244 b,CH4,21086736273,19568327133,20327531703,0.927992217
TOI-244 b,H2O,45054661479,51075345993,48065003736,1.133630668
LTT 1445 A c,O2,40516670432,49415576082,44966123257,1.21963566
LTT 1445 A c,CO2,56956074796,1.99842E+11,1.28399E+11,3.508695442
LTT 1445 A c,CH4,80091107018,2.14982E+11,1.47537E+11,2.684222038
LTT 1445 A c,H2O,1.67209E+11,1.98773E+11,1.82991E+11,1.188772373
TOI-260 b,O2,45204350562,45889792843,45547071703,1.015163193
TOI-260 b,CO2,45983824461,45541295382,45762559921,0.990376419
TOI-260 b,CH4,66274368589,65896693459,66085531024,0.994301339
TOI-260 b,H2O,1.59576E+11,2.03138E+11,1.81357E+11,1.272987116
L 98-59 c,O2,25966051451,27424170347,26695110899,1.056154818
L 98-59 c,CO2,34980186025,31124647643,33052416834,0.889779363
L 98-59 c,CH4,49348095894,43529846049,46438970972,0.882097784
L 98-59 c,H2O,1.04979E+11,1.1554E+11,1.1026E+11,1.100599483
L 98-59 d,O2,25966051451,27424170347,26695110899,1.056154818
L 98-59 d,CO2,34980186025,31124647643,33052416834,0.889779363
L 98-59 d,CH4,49348095894,43529846049,46438970972,0.882097784
L 98-59 d,H2O,1.04979E+11,1.1554E+11,1.1026E+11,1.100599483
HD 23472 f,O2,25375499894,24795083314,25085291604,0.977126891
HD 23472 f,CO2,20893768899,22653168032,21773468466,1.084206882
HD 23472 f,CH4,30606067043,38109332979,34357700011,1.245156162
HD 23472 f,H2O,80895191546,1.12488E+11,96691698871,1.390542553
Kepler-409 b,O2,19199075345,21296062776,20247569061,1.109223356
Kepler-409 b,CO2,13348560461,12957772972,13153166716,0.970724372
Kepler-409 b,CH4,19811675713,20137064053,19974369883,1.01642407
Kepler-409 b,H2O,56425869802,70080416545,63253143173,1.241990895
Kepler-37 c,O2,16421138153,18444096944,17432617548,1.123192362
Kepler-37 c,CO2,11562074507,11230025324,11396049916,0.971281176
Kepler-37 c,CH4,17143341732,17020199492,17081770612,0.992816906
Kepler-37 c,H2O,48554569967,60203447801,54379008884,1.239913109